exact_address,price,size,rooms,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,ending_price,price_change_percentage,ending_price_per_sqm
,,,,,,,False,False,,,
,,,,,,,False,False,,,
Läckövägen 24,,41.0,2.0,2612,,"Hammarbyhöjden, Stockholms kommun",False,True,3330000,+21 %,81220
Västerled 104,,107.0,4.0,6317,,"Bromma Ålsten, Stockholms kommun",True,True,9000000,-9 %,84112
Strindbergsgatan 37,,30.5,1.0,2082,,"Östermalm - Nedre Gärdet, Stockholms kommun",True,True,3250000,+2 %,106557
Arkadvägen 1,,72.0,3.0,4136,,"Skärmarbrink, Stockholms kommun",True,True,5600000,+17 %,77778
Tomtebogatan 49,,48.0,2.0,2785,,"Vasastan/Birkastan, Stockholms kommun",True,False,5300000,+6 %,110417
"Smörbrödsvägen 15, 3tr",,56.5,2.0,3827,,"Sköndal, Stockholms kommun",False,True,2700000,+20 %,47788
Erik Dahlbergsgatan 35,,40.5,2.0,3073,,"Nedre Gärdet, Stockholms kommun",True,True,5275000,+17 %,130247
Skridskovägen 7,,60.0,2.0,4302,,"Västertorp/Hägerstensåsen, Stockholms kommun",True,False,3350000,+8 %,55833
Pokalvägen 4,,40.0,2.0,2829,,"Reimersholme, Stockholms kommun",True,True,4150000,+9 %,103750
Skebokvarnsvägen 201,,62.0,4.0,3784,,"Högdalen, Stockholms kommun",True,True,2850000,+14 %,45968
Ringvägen 60,,42.0,1.5,3666,,"Södermalm, Stockholms kommun",True,False,3350000,+3 %,79762
Kubbegatan 49,,89.5,4.0,5914,,"Sköndals Centrum, Stockholms kommun",False,False,4570000,+14 %,51061
"Alströmergatan 32R, 1,5 tr",,65.0,3.0,3780,,"Kungsholmen, Stockholms kommun",False,False,6650000,+7 %,102308
Norrbackagatan 26A,,70.0,2.5,3390,,"Vasastan - Birkastan, Stockholms kommun",True,True,7350000,+5 %,105000
"Wahlbergsgatan 7, 3 tr",,53.0,3.0,4256,,"Hammarbyhöjden, Stockholms kommun",False,True,4150000,+4 %,78302
Dalgränd 8,,103.0,4.0,3868,,"Enskede, Stockholms kommun",False,True,4820000,-4 %,46796
"Skönviksvägen 296, 2 tr",,60.0,3.0,4519,,"Stureby - Enskede, Stockholms kommun",False,True,3065000,+2 %,51083
Burspråksvägen 2,,35.0,1.0,2647,,"Johanneshov, Stockholms kommun",False,False,2510000,+9 %,71714
Kammakargatan 50,,,3.5,7471,,"Norrmalm - Vasastan, Stockholms kommun",True,True,10700000,+7 %,133750
"Sysslomansgatan 8, 7 tr",,26.0,1.0,1509,,"Kungsholmen, Stockholms kommun",True,True,2975000,+3 %,114423
"Tämnarvägen 20, 2 tr",,46.0,2.0,2768,,"Årsta, Stockholms kommun",True,True,3000000,+21 %,65217
Kungsholmsgatan 9,,33.0,1.0,3448,,"Kungsholmen/ Nedre Kungsholmen, Stockholms kommun",True,False,2875000,-1 %,87121
