link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude
"https://www.hemnet.se/bostad/lagenhet-4rum-vasastan-stockholms-kommun-gavlegatan-4,-2-1-2-tr-21408668",Gävlegatan 4,10500000,96.0,4.0,3,4561,109375,"Vasastan, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-1,5rum-gardet-ostermalm-stockholms-kommun-osthammarsgatan-70b-21410680",Östhammarsgatan 70B,3250000,35.0,1.5,2,2610,92857,"Gärdet - Östermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/nybyggnadsprojekt/arstaberg-brf-vakna-18639358,Brf Vakna,2625000,,,1,2751,75000,"Årstaberg, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-mariehall-stockholms-kommun-masugnsvagen-86-20548297,Masugnsvägen 86,5795000,79.5,3.0,3,4797,72893,"Mariehäll, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-2rum-spanga-bromstensstaden-stockholms-kommun-akare-engstroms-vag-5,-2-tr-lgh-065-21274981",Åkare Engströms Väg 5,2150000,43.0,2.0,3,2662,50000,"Spånga  - Bromstensstaden, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-gardet-stockholms-kommun-sandhamnsgatan-75b-21286901,Sandhamnsgatan 75B,7395000,82.0,3.0,1,6186,90183,"Gärdet, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-hasselby-strand-stockholms-kommun-maltesholmsvagen-147-21323735,Maltesholmsvägen 147,2950000,79.0,3.0,12,5437,37342,"Hässelby Strand, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-4rum-spanga-tensta-stockholms-kommun-tenstavagen-48-21337304,Tenstavägen 48,1695000,96.0,4.0,1,8178,17656,"Spånga-Tensta, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-kista-stockholms-kommun-kastrupgatan-14-21337475,Kastrupgatan 14,1595000,45.0,2.0,1,3642,35444,"Kista, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-telefonplan-midsommarkransen-stockholms-kommun-backvagen-89-21339850,Bäckvägen 89,2695000,45.0,2.0,3,4145,59889,"Telefonplan/Midsommarkransen, Stockholms kommun",False,False,,
"https://www.hemnet.se/bostad/lagenhet-5rum-vasastan-stockholms-kommun-karlbergsvagen-8,-1-tr-21342167",Karlbergsvägen 8,19500000,163.0,5.0,1,0,119632,"Vasastan, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-4rum-spanga-bromstensstaden-stockholms-kommun-skogangsvagen-32,-1-tr-lgh-092-21348003",Skogängsvägen 32,3845000,91.0,4.0,1,5349,42253,"Spånga - Bromstensstaden, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-bromma-annedal-stockholms-kommun-dartanjangs-gata-46-21322590,Dartanjangs Gata 46,2350000,53.0,2.0,1,3961,44340,"Bromma - Annedal, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2,5rum-bromma-mariehall-stockholms-kommun-alpvagen-8-21355203",Alpvägen 8,3195000,62.0,2.5,2,4705,51532,"Bromma - Mariehäll, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-johanneshov-stockholms-kommun-skulptorvagen-14-21359112,Skulptörvägen 14,4495000,79.0,3.0,1,5336,56899,"Johanneshov, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-spanga-bromsten-stockholms-kommun-bygardesvagen-4-21359152,Bygärdesvägen 4,1295000,28.0,1.0,2,2003,46250,"Spånga - Bromsten, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-abrahamsberg-stockholms-kommun-arkitektvagen-85-21377444,Arkitektvägen 85,2850000,48.0,2.0,1,3571,59375,"Abrahamsberg, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-fruangen-stockholms-kommun-eva-bonniers-gata-9-21378300,Eva bonniers gata 9,3495000,72.0,3.0,3,4160,48542,"Fruängen, Stockholms kommun",False,True,,
"https://www.hemnet.se/bostad/lagenhet-3rum-vallingby-centrum-stockholms-kommun-vittangigatan-51,-2,5-tr-21381744",Vittangigatan 51,2495000,70.0,3.0,3,5678,35643,"Vällingby  Centrum, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-hagsatra-stockholms-kommun-lillhagsvagen-18-21372436,Lillhagsvägen 18,2100000,69.0,3.0,3,6314,30435,"Hagsätra, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-norrmalm-stockholms-kommun-dalagatan-6-21386242,Dalagatan 6,6895000,69.0,3.0,1,2606,99928,"Vasastan - Norrmalm, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-brahegatan-27-21387265,Brahegatan 27,5500000,48.0,2.0,1,1768,114583,"Östermalm, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-skondal-stockholms-kommun-perstorpsvagen-108-21388088,Perstorpsvägen 108,2195000,35.0,2.0,5,2328,62714,"Sköndal, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-4rum-hogdalen-stockholms-kommun-skebokvarnsvagen-366-21388383,Skebokvarnsvägen 366,3300000,92.5,4.0,3,8185,35676,"Högdalen, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-sofo-stockholms-kommun-bjurholmsplan-23a-21388553,Bjurholmsplan 23A,4795000,61.0,2.0,1,4817,78607,"Södermalm - SoFo, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-arsta-stockholms-kommun-branningevagen-30b-21388872,Bränningevägen 30B,5775000,78.0,3.0,3,4698,74038,"Årsta, Stockholms kommun",True,True,,
