link,exact_address,size,rooms,monthly_fee,location,has_elevator,has_balcony,listing_price,end_price,price_change_percentage,price_per_sqm,date
https://www.hemnet.se/salda/lagenhet-2rum-skarpnack-stockholms-kommun-pilotgatan-8-1060117393501340593,Pilotgatan 8,65.0,2.0,5004,"Skarpnäck, Stockholms kommun",False,False,2000000,2500000,25,38462,2024-09-17
"https://www.hemnet.se/salda/lagenhet-4,5rum-nedre-gardet-ostermalm-stockholms-kommun-starrangsringen-44,-4tr-6571130159592177652",Starrängsringen 44,107.0,4.5,3559,"Nedre Gärdet - Östermalm, Stockholms kommun",True,True,11548672,13050000,13,121963,2024-09-16
https://www.hemnet.se/salda/lagenhet-3rum-vallingby-centrum-stockholms-kommun-skattegardsvagen-65-6766962744806409718,Skattegårdsvägen 65,78.0,3.0,5576,"Vällingby Centrum, Stockholms kommun",True,False,2884615,3000000,4,38462,2024-09-16
https://www.hemnet.se/salda/villa-3rum-bromma-olovslund-stockholms-kommun-olovslundsvagen-19-2075451476674104035,Olovslundsvägen 19,80.0,3.0,769,"Bromma - Olovslund, Stockholms kommun",False,False,5757575,7600000,32,,2024-09-16
https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-stockholms-kommun-maria-prastgardsgata-43-1994292052026164326,Maria prästgårdsgata 43,68.0,3.0,3825,"Södermalm, Stockholms kommun",False,True,6476190,6800000,5,100000,2024-09-16
https://www.hemnet.se/salda/villa-148m2-bromma-smedslatten-stockholms-kommun-aladdinsvagen-32-1775032125932462619,Aladdinsvägen 32,,,794,"Bromma Smedslätten, Stockholms kommun",False,False,15865384,16500000,4,,2024-09-16
https://www.hemnet.se/salda/lagenhet-5rum-norra-djurgardsstaden-stockholms-kommun-alvkarleovagen-33-3370528883890761972,Älvkarleövägen 33,117.0,5.0,5988,"Norra Djurgårdsstaden, Stockholms kommun",True,True,13431372,13700000,2,117094,2024-09-16
https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-stockholms-kommun-riddargatan-36a-1402236510540932453,Riddargatan 36a,128.0,4.0,6139,"Östermalm, Stockholms kommun",False,True,13679245,14500000,6,113281,2024-09-16
https://www.hemnet.se/salda/lagenhet-4rum-stureby-stockholms-kommun-bastuhagsvagen-14-143102597545026423,Bastuhagsvägen 14,87.0,4.0,5258,"Stureby, Stockholms kommun",False,True,4932692,5130000,4,58966,2024-09-16
https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-brantingsgatan-23-5283813259843588658,Brantingsgatan 23,37.0,2.0,2015,"Gärdet, Stockholms kommun",True,True,4000000,4000000,0,108108,2024-09-16
https://www.hemnet.se/salda/radhus-4rum-spanga-tensta-stockholms-kommun-spanga-kyrkvag-572-8063359924364925407,Spånga kyrkväg 572,121.0,4.0,356,"Spånga - Tensta, Stockholms kommun",False,False,2956730,3075000,4,,2024-09-16
https://www.hemnet.se/salda/lagenhet-2rum-hammarbyhojden-johanneshov-stockholms-kommun-forsskalsgatan-14-5274874591721010394,Forsskålsgatan 14,41.0,2.0,4520,"Hammarbyhöjden/Johanneshov, Stockholms kommun",False,True,2500000,2750000,10,67073,2024-09-16
"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-fleminggatan-70,-4tr-1803960711677615671",Fleminggatan 70,92.0,3.0,4198,"Kungsholmen, Stockholms kommun",True,True,9019607,9200000,2,100000,2024-09-16
"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-birkastan-stockholms-kommun-robert-almstromsgatan-4,-0,5tr-1339918608220827459",Robert Almströmsgatan 4,60.0,3.0,4379,"Vasastan - Birkastan, Stockholms kommun",True,False,6519607,6650000,2,110833,2024-09-16
https://www.hemnet.se/salda/lagenhet-2rum-hammarbyhojden-johanneshov-stockholms-kommun-paternostervagen-58-3051437312173128890,Paternostervägen 58,41.0,2.0,3169,"Hammarbyhöjden/Johanneshov, Stockholms kommun",False,True,2798165,3050000,9,74390,2024-09-16
https://www.hemnet.se/salda/lagenhet-2rum-grondal-stockholms-kommun-eldarvagen-4-7857994935762112916,Eldarvägen 4,36.5,2.0,1988,"Gröndal, Stockholms kommun",False,False,2990196,3050000,2,83562,2024-09-16
