Datum;Grupp;Serie;Värde
2014-09-16;Riksbankens styrräntor;Styrränta;0,25
2014-09-17;Riksbankens styrräntor;Styrränta;0,25
2014-09-18;Riksbankens styrräntor;Styrränta;0,25
2014-09-19;Riksbankens styrräntor;Styrränta;0,25
2014-09-22;Riksbankens styrräntor;Styrränta;0,25
2014-09-23;Riksbankens styrräntor;Styrränta;0,25
2014-09-24;Riksbankens styrräntor;Styrränta;0,25
2014-09-25;Riksbankens styrräntor;Styrränta;0,25
2014-09-26;Riksbankens styrräntor;Styrränta;0,25
2014-09-29;Riksbankens styrräntor;Styrränta;0,25
2014-09-30;Riksbankens styrräntor;Styrränta;0,25
2014-10-01;Riksbankens styrräntor;Styrränta;0,25
2014-10-02;Riksbankens styrräntor;Styrränta;0,25
2014-10-03;Riksbankens styrräntor;Styrränta;0,25
2014-10-06;Riksbankens styrräntor;Styrränta;0,25
2014-10-07;Riksbankens styrräntor;Styrränta;0,25
2014-10-08;Riksbankens styrräntor;Styrränta;0,25
2014-10-09;Riksbankens styrräntor;Styrränta;0,25
2014-10-10;Riksbankens styrräntor;Styrränta;0,25
2014-10-13;Riksbankens styrräntor;Styrränta;0,25
2014-10-14;Riksbankens styrräntor;Styrränta;0,25
2014-10-15;Riksbankens styrräntor;Styrränta;0,25
2014-10-16;Riksbankens styrräntor;Styrränta;0,25
2014-10-17;Riksbankens styrräntor;Styrränta;0,25
2014-10-20;Riksbankens styrräntor;Styrränta;0,25
2014-10-21;Riksbankens styrräntor;Styrränta;0,25
2014-10-22;Riksbankens styrräntor;Styrränta;0,25
2014-10-23;Riksbankens styrräntor;Styrränta;0,25
2014-10-24;Riksbankens styrräntor;Styrränta;0,25
2014-10-27;Riksbankens styrräntor;Styrränta;0,25
2014-10-28;Riksbankens styrräntor;Styrränta;0,25
2014-10-29;Riksbankens styrräntor;Styrränta;0,00
2014-10-30;Riksbankens styrräntor;Styrränta;0,00
2014-10-31;Riksbankens styrräntor;Styrränta;0,00
2014-11-03;Riksbankens styrräntor;Styrränta;0,00
2014-11-04;Riksbankens styrräntor;Styrränta;0,00
2014-11-05;Riksbankens styrräntor;Styrränta;0,00
2014-11-06;Riksbankens styrräntor;Styrränta;0,00
2014-11-07;Riksbankens styrräntor;Styrränta;0,00
2014-11-10;Riksbankens styrräntor;Styrränta;0,00
2014-11-11;Riksbankens styrräntor;Styrränta;0,00
2014-11-12;Riksbankens styrräntor;Styrränta;0,00
2014-11-13;Riksbankens styrräntor;Styrränta;0,00
2014-11-14;Riksbankens styrräntor;Styrränta;0,00
2014-11-17;Riksbankens styrräntor;Styrränta;0,00
2014-11-18;Riksbankens styrräntor;Styrränta;0,00
2014-11-19;Riksbankens styrräntor;Styrränta;0,00
2014-11-20;Riksbankens styrräntor;Styrränta;0,00
2014-11-21;Riksbankens styrräntor;Styrränta;0,00
2014-11-24;Riksbankens styrräntor;Styrränta;0,00
2014-11-25;Riksbankens styrräntor;Styrränta;0,00
2014-11-26;Riksbankens styrräntor;Styrränta;0,00
2014-11-27;Riksbankens styrräntor;Styrränta;0,00
2014-11-28;Riksbankens styrräntor;Styrränta;0,00
2014-12-01;Riksbankens styrräntor;Styrränta;0,00
2014-12-02;Riksbankens styrräntor;Styrränta;0,00
2014-12-03;Riksbankens styrräntor;Styrränta;0,00
2014-12-04;Riksbankens styrräntor;Styrränta;0,00
