exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,main_neighborhood,sub_neighborhood,date,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_ending_price
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
"Sandelsgatan 12, 2tr",2995000.0,34.0,1.0,2.0,1783.0,88088.0,True,False,,,nedre gärdet,östermalm,2024-09-17 07:17:05.119757,2024,9,4,0.029411764705882353,0,5423264.851586489,,-0.36492890995260663,110543.893129771,106251.37655091404,0,3568932.8571428577
Tenstavägen 48,1695000.0,96.0,4.0,1.0,8178.0,17656.0,False,True,,,spånga,tensta,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,37284.32811480756,18290.04329004329,0,2481178.9285714286
Sankt Eriksgatan 41,2895000.0,28.0,1.0,2.0,819.0,103393.0,True,True,,,kungsholmen,fridhemsplan,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,102559.572426767,105193.71727748691,0,3170585.476190476
Bäckvägen 89,2695000.0,45.0,2.0,3.0,4145.0,59889.0,False,False,,,telefonplan,midsommarkransen,2024-09-17 07:17:05.119757,2024,9,4,0.044444444444444446,0,5423264.851586489,,-0.36492890995260663,71463.50364963504,73855.93220338984,0,2838247.6785714286
Dartanjangs Gata 48,4995000.0,100.0,4.0,3.0,6229.0,49950.0,True,True,,,bromma,annedal,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,57048.75962360992,0,4773045.595238095
