exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,year,month,season,months_since_sale,location_avg_price_per_sqm,rooms_per_sqm,is_central,main_neighborhood,sub_neighborhood,predicted_ending_price
"Sandelsgatan 12, 2tr",2995000.0,34.0,1.0,2.0,1783.0,88088.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,114472.96559257236,0.029411764705882353,0,nedre gärdet,östermalm,3486102.2
Tenstavägen 48,1695000.0,96.0,4.0,1.0,8178.0,17656.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,,0.041666666666666664,0,spånga,tensta,7905534.5
Sankt Eriksgatan 41,2895000.0,28.0,1.0,2.0,819.0,103393.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,108156.95600475624,0.03571428571428571,0,kungsholmen,fridhemsplan,3360454.5
Bäckvägen 89,2695000.0,45.0,2.0,3.0,4145.0,59889.0,False,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,70440.25157232705,0.044444444444444446,0,telefonplan,midsommarkransen,2986845.8
Dartanjangs Gata 48,4995000.0,100.0,4.0,3.0,6229.0,49950.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,51851.851851851854,0.04,0,bromma,annedal,4917546.0
Follingbogatan 18,1195000.0,23.0,1.0,4.0,2851.0,51957.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,49523.80952380953,0.043478260869565216,0,bromma,beckomberga,1611848.2
Maltesholmsvägen 147,2950000.0,79.0,3.0,12.0,5437.0,37342.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,38054.982817869415,0.0379746835443038,0,hässelby strand,central,2653907.5
Primusgatan 62,8995000.0,90.0,3.0,8.0,6240.0,99944.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,81997.54148740013,0.03333333333333333,0,lilla essingen,central,7453094.5
"Tellusborgsvägen 94, uteplats",2695000.0,39.0,2.0,1.0,2798.0,69103.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,69074.07407407407,0.05128205128205128,0,midsommarkransen,telefonplan,2802622.5
Malmövägen 75,7645000.0,95.0,4.0,1.0,6248.0,80474.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,67369.43907156673,0.042105263157894736,0,johanneshov,central,6586768.0
Mobilgatan 3F,2675000.0,27.0,1.0,1.0,2304.0,99074.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,74953.05164319249,0.037037037037037035,0,telefonplan,central,2467415.5
"Torstenssonsgatan 8A, 3tr",6995000.0,63.0,2.0,3.0,4921.0,111032.0,False,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,143918.9189189189,0.031746031746031744,0,nedre östermalm,central,7846873.5
Ystadsvägen 109,6695000.0,86.0,3.0,1.0,5464.0,77849.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,67369.43907156673,0.03488372093023256,0,johanneshov,central,5761827.0
Malmövägen 71,9995000.0,114.0,5.0,1.0,7374.0,87675.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,67369.43907156673,0.043859649122807015,0,johanneshov,central,7057713.5
Sockenvägen 611,3495000.0,67.0,2.0,1.0,5416.0,52164.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,58966.89497716895,0.029850746268656716,0,bagarmossen,central,3290065.8
Brahegatan 27,5500000.0,48.0,2.0,1.0,1768.0,114583.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.041666666666666664,0,östermalm,central,5675358.5
Hagagatan 12,6895000.0,63.0,3.0,1.0,3912.0,109444.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,116794.46219382322,0.047619047619047616,0,vasastan,odenplan,7889145.5
Hagagatan 17N,2995000.0,43.0,2.0,1.0,2271.0,69651.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,116794.46219382322,0.046511627906976744,0,vasastan,odenplan,4568648.5
"Fatburs Kvarngata 2, 1tr",3795000.0,56.5,3.0,1.0,5292.0,67168.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,118906.25,0.05309734513274336,0,maria,central,7054789.5
"Gävlegatan 2, 4tr",3195000.0,29.0,1.0,4.0,484.0,110172.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,117447.03452345825,0.034482758620689655,0,vasastan,central,3612119.8
"Sorögatan 13, 1 tr",1700000.0,45.0,2.0,2.0,2864.0,37778.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,31429.782424413675,0.044444444444444446,0,kista,central,1701671.1
"Ludvigsbergsgatan 15, 2 tr",6795000.0,81.0,3.0,2.0,3749.0,83889.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,100883.04295325169,0.037037037037037035,0,södermalm,central,7717296.0
Bjurholmsplan 23A,4795000.0,61.0,2.0,1.0,4817.0,78607.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,114879.15407854985,0.03278688524590164,0,södermalm,sofo,6587174.5
"Nordenskiöldsgatan 86, 2  tr",20000000.0,109.0,4.0,2.0,5445.0,183486.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,,0.03669724770642202,0,djurgården,central,8415842.0
Sandhamnsgatan 75B,7395000.0,82.0,3.0,1.0,6186.0,90183.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,110136.75845499909,0.036585365853658534,0,gärdet,central,8782468.0
Roslagsgatan 21A,5400000.0,54.0,2.0,2.0,2668.0,100000.0,False,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,117447.03452345825,0.037037037037037035,0,vasastan,central,6145373.0
Gamla Tyresövägen 351 C,7195000.0,74.0,3.0,3.0,4213.0,97230.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,49572.64957264957,0.04054054054054054,0,enskede,enskededalen,3525863.5
Dalagatan 6,6895000.0,69.0,3.0,1.0,2606.0,99928.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,120611.70212765958,0.043478260869565216,0,vasastan,norrmalm,8073312.5
Rådmansgatan 11,13495000.0,109.0,4.0,1.0,3845.0,123807.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.03669724770642202,0,östermalm,central,15446842.0
